Player,DOB,Age,Height,Country,Foot,ContractExp
adam-legzdins,"Nov 28, 1986",32,"1,90 m",England  Latvia,NaN,30.06.2020
ryan-bertrand,"Aug 5, 1989",30,"1,79 m",England,left,30.06.2021
marvin-zeegelaar,"Aug 12, 1990",29,"1,86 m",Netherlands  Suriname,left,30.06.2021
sokratis,"Jun 9, 1988",31,"1,86 m",Greece,right,30.06.2021
jonny-otto,"Mar 3, 1994",25,"1,75 m",Spain,both,30.06.2023
georginio-wijnaldum,"Nov 11, 1990",29,"1,75 m",Netherlands  Suriname,right,30.06.2021
mathew-ryan,"Apr 8, 1992",27,"1,84 m",Australia  England,right,30.06.2022
joel-matip,"Aug 8, 1991",28,"1,95 m",Cameroon  Germany,right,-
tyrone-mings,"Mar 13, 1993",26,"1,95 m",England  Barbados,left,-
jamie-sterry,"Nov 21, 1995",23,"1,80 m",England  Italy,right,30.06.2020
conor-coady,"Feb 25, 1993",26,"1,85 m",England,right,30.06.2023
scott-dann,"Feb 14, 1987",32,"1,94 m",England,right,30.06.2020
will-hughes,"Apr 17, 1995",24,"1,85 m",England,left,30.06.2022
harry-wilson,"Mar 22, 1997",22,"1,73 m",Wales  England,left,31.05.2020
lovre-kalinic,"Apr 3, 1990",29,"2,01 m",Croatia,right,30.06.2023
callum-robinson,"Feb 2, 1995",24,"1,78 m",Ireland  England,right,30.06.2023
sebastien-haller,"Jun 22, 1994",25,"1,90 m",France  Cote d'Ivoire,right,30.06.2024
vicente-guaita,"Jan 10, 1987",32,"1,90 m",Spain,right,30.06.2021
james-mcarthur,"Oct 7, 1987",32,"1,78 m",Scotland,both,30.06.2021
john-mcginn,"Oct 18, 1994",25,"1,78 m",Scotland,left,30.06.2024
mason-holgate,"Oct 22, 1996",23,"1,87 m",England  Jamaica,right,30.06.2022
lucas-moura,"Aug 13, 1992",27,"1,72 m",Brazil,right,30.06.2024
timothy-fosu-mensah,"Jan 2, 1998",21,"1,90 m",Netherlands  Ghana,right,30.06.2020
daryl-janmaat,"Jul 22, 1989",30,"1,85 m",Netherlands,right,30.06.2020
max-meyer,"Sep 18, 1995",24,"1,73 m",Germany,right,30.06.2021
andreas-pereira,"Jan 1, 1996",23,"1,78 m",Brazil  Belgium,right,30.06.2023
patrick-van-aanholt,"Aug 29, 1990",29,"1,76 m",Netherlands  Curacao,left,30.06.2021
emerson,"Aug 3, 1994",25,"1,75 m",Italy  Brazil,left,30.06.2022
demarai-gray,"Jun 28, 1996",23,"1,80 m",England  Jamaica,right,30.06.2021
glenn-murray,"Sep 25, 1983",36,"1,86 m",England,right,30.06.2020
tudor-baluta,"Mar 27, 1999",20,"1,91 m",Romania,right,30.06.2022
ben-osborn,"Aug 5, 1994",25,"1,76 m",England,left,30.06.2022
emiliano-buendia,"Dec 25, 1996",22,"1,72 m",Argentina  Spain,right,30.06.2024
anwar-el-ghazi,"May 3, 1995",24,"1,89 m",Netherlands  Morocco,right,30.06.2023
raheem-sterling,"Dec 8, 1994",24,"1,70 m",England  Jamaica,right,30.06.2023
dean-henderson,"Mar 12, 1997",22,"1,88 m",England,NaN,31.05.2020
axel-tuanzebe,"Nov 14, 1997",22,"1,84 m",England  DR Congo,right,30.06.2022
jordan-pickford,"Mar 7, 1994",25,"1,85 m",England,left,30.06.2024
ciaran-clark,"Sep 26, 1989",30,"1,88 m",Ireland  England,left,30.06.2021
james-mccarthy,"Nov 12, 1990",29,"1,80 m",Ireland  Scotland,right,30.06.2022
teemu-pukki,"Mar 29, 1990",29,"1,80 m",Finland,right,30.06.2022
matt-ritchie,"Sep 10, 1989",30,"1,73 m",Scotland  England,left,30.06.2021
luke-freeman,"Mar 22, 1992",27,"1,76 m",England,left,30.06.2022
youri-tielemans,"May 7, 1997",22,"1,76 m",Belgium  DR Congo,right,30.06.2023
jesus-vallejo,"Jan 5, 1997",22,"1,84 m",Spain,right,30.06.2020
nathan-redmond,"Mar 6, 1994",25,"1,73 m",England  Ireland,right,30.06.2023
kean-bryan,"Nov 1, 1996",23,"1,85 m",England  Jamaica,left,30.06.2021
james-tomkins,"Mar 29, 1989",30,"1,92 m",England,right,30.06.2022
alex-iwobi,"May 3, 1996",23,"1,83 m",Nigeria  England,right,30.06.2024
ryan-fraser,"Feb 24, 1994",25,"1,63 m",Scotland,right,30.06.2020
tom-cleverley,"Aug 12, 1989",30,"1,75 m",England,right,30.06.2022
bailey-peacock-farrell,"Oct 29, 1996",23,"1,94 m",Northern Ireland  England,left,30.06.2023
daniel-james,"Nov 10, 1997",22,"1,70 m",Wales  England,right,30.06.2024
davinson-sanchez,"Jun 12, 1996",23,"1,87 m",Colombia,right,30.06.2024
jose-holebas,"Jun 27, 1984",35,"1,84 m",Greece  Germany,left,30.06.2020
andrii-yarmolenko,"Oct 23, 1989",30,"1,90 m",Ukraine,left,30.06.2022
ashley-young,"Jul 9, 1985",34,"1,76 m",England  Jamaica,both,30.06.2020
simon-francis,"Feb 16, 1985",34,"1,91 m",England,right,30.06.2020
marcos-alonso,"Dec 28, 1990",28,"1,88 m",Spain,left,30.06.2023
florian-lejeune,"May 20, 1991",28,"1,90 m",France,right,30.06.2022
mateo-kovacic,"May 6, 1994",25,"1,77 m",Croatia  Austria,right,30.06.2024
raul-jimenez,"May 5, 1991",28,"1,88 m",Mexico,right,30.06.2023
nathaniel-chalobah,"Dec 12, 1994",24,"1,85 m",England  Sierra Leone,right,30.06.2022
dani-ceballos,"Aug 7, 1996",23,"1,79 m",Spain,right,30.06.2020
romain-saiss,"Mar 26, 1990",29,"1,88 m",Morocco  France,right,30.06.2021
rob-elliot,"Apr 30, 1986",33,"1,90 m",Ireland  England,left,30.06.2020
andrew-robertson,"Mar 11, 1994",25,"1,78 m",Scotland,left,30.06.2024
david-brooks,"Jul 8, 1997",22,"1,73 m",Wales  England,left,30.06.2022
jack-simpson,"Jan 8, 1997",22,"1,90 m",England,left,30.06.2020
tanguy-ndombele,"Dec 28, 1996",22,"1,81 m",France  DR Congo,right,30.06.2025
alexander-tettey,"Apr 4, 1986",33,"1,81 m",Norway  Ghana,right,30.06.2020
jorginho,"Dec 20, 1991",27,"1,80 m",Italy  Brazil,right,30.06.2023
etienne-capoue,"Jul 11, 1988",31,"1,89 m",France  Guadeloupe,right,30.06.2022
seamus-coleman,"Oct 11, 1988",31,"1,77 m",Ireland,right,30.06.2022
frederic-guilbert,"Dec 24, 1994",24,"1,78 m",France,right,30.06.2023
grant-hanley,"Nov 20, 1991",27,"1,88 m",Scotland,right,30.06.2023
jack-oconnell,"Mar 29, 1994",25,"1,91 m",England,left,30.06.2023
jefferson-lerma,"Oct 25, 1994",25,"1,79 m",Colombia,right,30.06.2023
jay-rodriguez,"Jul 29, 1989",30,"1,85 m",England  Spain,right,30.06.2021
ismaila-sarr,"Feb 25, 1998",21,"1,85 m",Senegal,right,30.06.2024
andy-lonergan,"Oct 19, 1983",36,"1,93 m",England,left,-
matty-james,"Jul 22, 1991",28,"1,81 m",England,right,30.06.2022
jack-stephens,"Jan 27, 1994",25,"1,85 m",England,right,30.06.2022
victor-camarasa,"May 28, 1994",25,"1,83 m",Spain,right,30.06.2020
filip-benkovic,"Jul 13, 1997",22,"1,94 m",Croatia,right,30.06.2023
jan-bednarek,"Apr 12, 1996",23,"1,89 m",Poland,right,30.06.2022
adam-lallana,"May 10, 1988",31,"1,72 m",England,both,30.06.2020
alireza-jahanbakhsh,"Aug 11, 1993",26,"1,80 m",Iran,right,30.06.2023
jordan-graham,"Mar 5, 1995",24,"1,82 m",England,right,30.06.2020
divock-origi,"Apr 18, 1995",24,"1,85 m",Belgium  Kenya,right,30.06.2024
john-stones,"May 28, 1994",25,"1,88 m",England,right,30.06.2022
craig-dawson,"May 6, 1990",29,"1,88 m",England,right,30.06.2023
jetro-willems,"Mar 30, 1994",25,"1,69 m",Netherlands  Curacao,left,30.06.2020
phil-bardsley,"Jun 28, 1985",34,"1,80 m",Scotland  England,right,30.06.2020
moussa-sissoko,"Aug 16, 1989",30,"1,87 m",France  Mali,right,30.06.2023
jonas-lossl,"Feb 1, 1989",30,"1,95 m",Denmark,right,30.06.2022
trezeguet,"Oct 1, 1994",25,"1,79 m",Egypt,right,-
andre-gray,"Jun 26, 1991",28,"1,78 m",England  Jamaica,right,30.06.2022
david-silva,"Jan 8, 1986",33,"1,70 m",Spain,left,30.06.2020
leandro-trossard,"Dec 4, 1994",24,"1,72 m",Belgium,right,30.06.2023
danny-ward,"Jun 22, 1993",26,"1,91 m",Wales,right,30.06.2022
josip-drmic,"Aug 8, 1992",27,"1,84 m",Switzerland  Croatia,right,30.06.2022
olivier-giroud,"Sep 30, 1986",33,"1,93 m",France,left,30.06.2020
phil-foden,"May 28, 2000",19,"1,71 m",England,left,30.06.2024
danny-rose,"Jul 2, 1990",29,"1,73 m",England  Jamaica,left,30.06.2021
jason-steele,"Aug 18, 1990",29,"1,88 m",England,right,30.06.2021
phil-jagielka,"Aug 17, 1982",37,"1,80 m",England  Poland,right,30.06.2020
ravel-morrison,"Feb 2, 1993",26,"1,75 m",Jamaica  England,right,30.06.2020
diego-rico,"Feb 23, 1993",26,"1,83 m",Spain,left,30.06.2022
callum-hudson-odoi,"Nov 7, 2000",19,"1,77 m",England  Ghana,right,30.06.2024
michael-obafemi,"Jul 6, 2000",19,"1,70 m",Ireland  Nigeria,right,30.06.2022
philip-billing,"Jun 11, 1996",23,"1,98 m",Denmark  Nigeria,left,30.06.2024
jordon-ibe,"Dec 8, 1995",23,"1,76 m",England  Nigeria,right,30.06.2020
ben-godfrey,"Jan 15, 1998",21,"1,83 m",England,right,30.06.2023
jan-vertonghen,"Apr 24, 1987",32,"1,89 m",Belgium,left,30.06.2020
harry-maguire,"Mar 5, 1993",26,"1,94 m",England,right,30.06.2025
nathan-ake,"Feb 18, 1995",24,"1,80 m",Netherlands  Cote d'Ivoire,left,30.06.2022
granit-xhaka,"Sep 27, 1992",27,"1,86 m",Switzerland,left,30.06.2023
charlie-daniels,"Sep 7, 1986",33,"1,78 m",England,left,30.06.2020
ben-davies,"Apr 24, 1993",26,"1,81 m",Wales,left,30.06.2024
matej-vydra,"May 1, 1992",27,"1,80 m",Czech Republic,right,30.06.2021
oliver-mcburnie,"Jun 4, 1996",23,"1,88 m",Scotland  England,right,30.06.2023
ruben-vinagre,"Apr 9, 1999",20,"1,74 m",Portugal,left,30.06.2024
ngolo-kante,"Mar 29, 1991",28,"1,68 m",France  Mali,right,30.06.2023
henri-saivet,"Oct 26, 1990",29,"1,75 m",Senegal  France,right,30.06.2021
dale-stephens,"Dec 12, 1989",29,"1,85 m",England,right,30.06.2021
phil-jones,"Feb 21, 1992",27,"1,85 m",England,right,30.06.2023
manuel-lanzini,"Feb 15, 1993",26,"1,67 m",Argentina  Italy,right,30.06.2023
lewis-cook,"Feb 3, 1997",22,"1,75 m",England,right,30.06.2022
dominic-calvert-lewin,"Mar 16, 1997",22,"1,87 m",England,right,30.06.2023
pedro-neto,"Mar 9, 2000",19,"1,72 m",Portugal,left,30.06.2024
moise-kean,"Feb 28, 2000",19,"1,83 m",Italy  Cote d'Ivoire,right,30.06.2024
mark-travers,"May 18, 1999",20,"1,91 m",Ireland,right,-
onel-hernandez,"Feb 1, 1993",26,"1,72 m",Cuba  Germany,right,30.06.2023
giovani-lo-celso,"Apr 9, 1996",23,"1,77 m",Argentina  Italy,left,30.06.2020
christoph-zimmermann,"Jan 12, 1993",26,"1,94 m",Germany,right,30.06.2023
declan-rice,"Jan 14, 1999",20,"1,85 m",England  Ireland,right,30.06.2024
ben-chilwell,"Dec 21, 1996",22,"1,78 m",England,left,30.06.2024
kieron-freeman,"Mar 21, 1992",27,"1,78 m",Wales  England,right,30.06.2020
dan-gosling,"Feb 1, 1990",29,"1,80 m",England,right,30.06.2021
nemanja-matic,"Aug 1, 1988",31,"1,94 m",Serbia  Slovakia,left,30.06.2020
ricardo-pereira,"Oct 6, 1993",26,"1,75 m",Portugal  Cape Verde,right,30.06.2023
mamadou-sakho,"Feb 13, 1990",29,"1,87 m",France  Senegal,left,30.06.2021
hugo-lloris,"Dec 26, 1986",32,"1,88 m",France,left,30.06.2022
michail-antonio,"Mar 28, 1990",29,"1,80 m",England  Jamaica,right,30.06.2021
adrian,"Jan 3, 1987",32,"1,90 m",Spain,right,30.06.2021
marvelous-nakamba,"Jan 19, 1994",25,"1,77 m",Zimbabwe,left,30.06.2024
kyle-walker,"May 28, 1990",29,"1,83 m",England,right,30.06.2024
reiss-nelson,"Dec 10, 1999",19,"1,75 m",England  Zimbabwe,right,30.06.2023
aymeric-laporte,"May 27, 1994",25,"1,91 m",France,left,30.06.2025
diogo-dalot,"Mar 18, 1999",20,"1,83 m",Portugal,right,30.06.2023
david-mcgoldrick,"Nov 29, 1987",31,"1,84 m",Ireland  England,right,30.06.2021
roberto-pereyra,"Jan 7, 1991",28,"1,82 m",Argentina,both,30.06.2021
wesley,"Nov 26, 1996",22,"1,91 m",Brazil,right,30.06.2024
adam-smith,"Apr 29, 1991",28,"1,74 m",England,right,30.06.2021
henri-lansbury,"Oct 12, 1990",29,"1,83 m",England,right,30.06.2021
jack-cork,"Jun 25, 1989",30,"1,85 m",England,right,30.06.2021
victor-lindelof,"Jul 17, 1994",25,"1,87 m",Sweden,right,30.06.2024
lee-grant,"Jan 27, 1983",36,"1,93 m",England,right,30.06.2020
danny-welbeck,"Nov 26, 1990",28,"1,85 m",England,right,30.06.2022
jamal-lewis,"Jan 25, 1998",21,"1,78 m",Northern Ireland  England,left,30.06.2023
diogo-jota,"Dec 4, 1996",22,"1,78 m",Portugal,right,30.06.2022
cesar-azpilicueta,"Aug 28, 1989",30,"1,78 m",Spain,right,30.06.2022
erik-lamela,"Mar 4, 1992",27,"1,84 m",Argentina  Spain,left,30.06.2022
calum-chambers,"Jan 20, 1995",24,"1,83 m",England,right,30.06.2022
gary-cahill,"Dec 19, 1985",33,"1,93 m",England,right,30.06.2021
cenk-tosun,"Jun 7, 1991",28,"1,83 m",Turkey  Germany,right,30.06.2022
jordan-henderson,"Jun 17, 1990",29,"1,87 m",England,right,30.06.2023
rob-holding,"Sep 20, 1995",24,"1,89 m",England,right,30.06.2023
jack-colback,"Oct 24, 1989",30,"1,77 m",England,left,30.06.2020
bernard,"Sep 8, 1992",27,"1,64 m",Brazil  Spain,right,30.06.2022
hamza-choudhury,"Oct 1, 1997",22,"1,78 m",England  Bangladesh,NaN,30.06.2023
ezri-konsa,"Oct 23, 1997",22,"1,83 m",England  DR Congo,right,-
anthony-martial,"Dec 5, 1995",23,"1,83 m",France  Guadeloupe,right,30.06.2024
sebastian-prodl,"Jun 21, 1987",32,"1,94 m",Austria,right,30.06.2021
harvey-barnes,"Dec 9, 1997",21,"1,80 m",England,right,30.06.2024
kevin-danso,"Sep 19, 1998",21,"1,90 m",Austria,right,30.06.2020
